机型,CPU(核),内存(G),按量T1(元/小时),按量T2(元/小时),按量T3(元/小时),包月(元),包年(元),3年(元),5年(元),
标准型SA1,2,4,0.25,0.12,0.08,128,1274.88,2304,3840,
标准型SA1,2,8,0.37,0.19,0.13,192,1912.32,3456,5760,
标准型SA1,4,8,0.5,0.25,0.17,256,2549.76,4608,7680,
标准型SA1,4,16,0.74,0.37,0.25,384,3824.64,6912,11520,
标准型SA1,8,16,0.99,0.5,0.34,512,5099.52,9216,15360,
标准型SA1,8,32,1.49,0.75,0.51,768,7649.28,13824,23040,
标准型SA1,16,32,1.98,1,0.68,1024,10199.04,18432,30720,
标准型SA1,16,64,2.98,1.49,1.02,1536,15298.56,27648,46080,
标准型SA1,32,64,3.97,1.99,1.35,2048,20398.08,36864,61440,
标准型SA1,32,128,5.95,2.99,2.03,3072,30597.12,55296,92160,
标准型SA1,64,128,7.93,3.98,2.71,4096,40796.16,73728,122880,
标准型SA1,64,256,11.9,5.97,4.06,6144,61194.24,110592,184320,
标准型SA1,128,448,21.82,10.95,7.45,11264,112189.44,202752,337920,
标准型S2,1,1,0.15,0.07,0.05,42,418.32,756,1260,
标准型S2,1,2,0.27,0.14,0.09,79,786.84,1422,2370,
标准型S2,1,4,0.47,0.23,0.16,135,1344.6,2430,4050,
标准型S2,2,2,0.47,0.23,0.16,135,1344.6,2430,4050,
标准型S2,2,4,0.62,0.31,0.21,179,1782.84,3222,5370,
标准型S2,2,8,0.94,0.47,0.32,270,2689.2,4860,8100,
标准型S2,4,8,1.25,0.62,0.42,360,3585.6,6480,10800,
标准型S2,4,16,1.87,0.94,0.64,540,5378.4,9720,16200,
标准型S2,8,16,2.5,1.25,0.85,720,7171.2,12960,21600,
标准型S2,8,32,3.74,1.87,1.27,1080,10756.8,19440,32400,
标准型S2,12,24,3.74,1.87,1.27,1080,10756.8,19440,32400,
标准型S2,12,48,5.62,2.81,1.91,1620,16135.2,29160,48600,
标准型S2,16,32,4.99,2.5,1.7,1440,14342.4,25920,43200,
标准型S2,16,48,6.24,3.12,2.12,1800,17928,32400,54000,
标准型S2,16,64,7.49,3.74,2.55,2160,21513.6,38880,64800,
标准型S2,24,48,7.49,3.74,2.55,2160,21513.6,38880,64800,
标准型S2,24,96,11.23,5.62,3.82,3240,32270.4,58320,97200,
标准型S2,32,64,9.98,4.99,3.39,2880,28684.8,51840,86400,
标准型S2,32,128,14.98,7.49,5.09,4320,43027.2,77760,129600,
标准型S2,56,224,26.21,13.1,8.91,7560,75297.6,136080,226800,
高IO型I2,2,4,0.64,0.32,0.22,180,1792.8,3240,5400,
高IO型I2,2,8,0.96,0.48,0.33,270,2689.2,4860,8100,
高IO型I2,4,8,1.28,0.64,0.44,360,3585.6,6480,10800,
高IO型I2,4,16,1.92,0.96,0.65,540,5378.4,9720,16200,
高IO型I2,8,16,2.56,1.28,0.87,720,7171.2,12960,21600,
高IO型I2,12,24,3.84,1.92,1.31,1080,10756.8,19440,32400,
高IO型I2,12,48,5.76,2.88,1.96,1620,16135.2,29160,48600,
高IO型I2,16,32,5.12,2.56,1.74,1440,14342.4,25920,43200,
高IO型I2,16,64,7.68,3.84,2.61,2160,21513.6,38880,64800,
内存型M5,1,8,0.62,0.31,0.21,176,1752.96,3168,5280,
内存型M5,2,16,1.23,0.62,0.42,352,3505.92,6336,10560,
内存型M5,4,32,2.46,1.23,0.84,704,7011.84,12672,21120,
内存型M5,8,64,4.92,2.46,1.67,1408,14023.68,25344,42240,
内存型M5,12,96,7.38,3.69,2.51,2112,21035.52,38016,63360,
内存型M5,16,128,9.84,4.92,3.35,2816,28047.36,50688,84480,
内存型M5,32,256,19.68,9.84,6.69,5632,56094.72,101376,168960,
内存型M2,1,8,0.62,0.31,0.21,176,1752.96,3168,5280,
内存型M2,2,16,1.23,0.62,0.42,352,3505.92,6336,10560,
内存型M2,4,32,2.46,1.23,0.84,704,7011.84,12672,21120,
内存型M2,8,64,4.92,2.46,1.67,1408,14023.68,25344,42240,
内存型M2,12,96,7.38,3.69,2.51,2112,21035.52,38016,63360,
内存型M2,16,128,9.84,4.92,3.35,2816,28047.36,50688,84480,
内存型M2,24,192,14.76,7.38,5.02,4224,42071.04,76032,126720,
内存型M2,32,256,19.68,9.84,6.69,5632,56094.72,101376,168960,
内存型M2,48,384,29.53,14.76,10.04,8448,84142.08,152064,253440,
内存型M2,56,448,34.45,17.22,11.71,9856,98165.76,177408,295680,
计算型C3,4,8,1.92,0.97,0.66,560,5577.6,10080,16800,
计算型C3,4,16,2.88,1.42,0.97,840,8366.4,15120,25200,
计算型C3,8,16,3.84,1.94,1.32,1120,11155.2,20160,33600,
计算型C3,8,32,5.76,2.85,1.94,1680,16732.8,30240,50400,
计算型C3,16,32,7.68,3.89,2.64,2240,22310.4,40320,67200,
计算型C3,16,64,11.52,5.69,3.87,3360,33465.6,60480,100800,
计算型C3,32,64,15.36,7.77,5.29,4480,44620.8,80640,134400,
计算型C3,32,128,23.04,11.39,7.75,6720,66931.2,120960,201600,
计算型C2,4,8,1.8,0.9,0.61,528,5258.88,9504,15840,
计算型C2,4,16,2.68,1.34,0.91,792,7888.32,14256,23760,
计算型C2,8,16,3.6,1.8,1.22,1056,10517.76,19008,31680,
计算型C2,8,32,5.36,2.68,1.82,1584,15776.64,28512,47520,
计算型C2,16,32,7.2,3.6,2.45,2112,21035.52,38016,63360,
计算型C2,16,64,10.72,5.36,3.64,3168,31553.28,57024,95040,
计算型C2,32,96,17.92,8.96,6.09,5280,52588.8,95040,158400,
GPU计算型GN2,28,56,8.39,4.2,2.85,2928,29162.88,73785.6,122976,
GPU计算型GN2,56,112,16.78,8.39,5.71,5856,58325.76,147571.2,245952,
GPU计算型GN10X,8,40,18.04,9.02,6.13,5190,51692.4,130788,217980,
GPU计算型GN10X,36,160,72.98,36.5,24.82,21000,209160,529200,882000,
GPU计算型GN10X,72,320,145.96,73,49.64,42000,418320,1058400,1764000,
大数据型D2,8,32,4.26,2.34,1.72,1404,13983.84,25272,42120,
大数据型D2,16,64,8.51,4.67,3.45,2808,27967.68,50544,84240,
大数据型D2,24,96,12.77,7.01,5.17,4212,41951.52,75816,126360,
大数据型D2,32,128,17.03,9.35,6.89,5616,55935.36,101088,168480,
